A01,No guide,ARB376
A02,No guide,ARB376
A03,Non-targeting guide,ARB377
A04,Non-targeting guide,ARB377
A05,Red,ARB378
A06,Red,ARB378
A07,Blue,ARB379
A08,Blue,ARB379
A09,Green,ARB380
A10,Green,ARB380
A11,Red+Blue,ARB381
A12,Red+Blue,ARB381
B01,Red+Green,ARB382
B02,Red+Green,ARB382
B03,Blue+Green,ARB383
B04,Blue+Green,ARB383
B05,Red+Blue+Green,ARB384
B06,Red+Blue+Green,ARB384
B07,One-Step,RBG_1
B08,One-Step,RBG_1
B09,One-Step,RBG_2
B10,One-Step,RBG_2
B11,One-Step,RBG_3
B12,One-Step,RBG_3
C01,,
C02,,
C03,,
C04,,
C05,,
C06,,
C07,,
C08,,
C09,,
C10,,
C11,,
C12,,
D01,,
D02,,
D03,,
D04,,
D05,,
D06,,
D07,,
D08,,
D09,,
D10,,
D11,,
D12,,
E01,,
E02,,
E03,,
E04,,
E05,,
E06,,
E07,,
E08,,
E09,,
E10,,
E11,,
E12,,
F01,,
F02,,
F03,,
F04,,
F05,,
F06,,
F07,,
F08,,
F09,,
F10,,
F11,,
F12,,
G01,,
G02,,
G03,,
G04,,
G05,,
G06,,
G07,,
G08,,
G09,,
G10,,
G11,,
G12,,
H01,,
H02,,
H03,,
H04,,
H05,,
H06,,
H07,,
H08,,
H09,,
H10,,
H11,,
H12,,
