A01,JPF0507,Promotors,PGK,Plate1
A02,JPF0507,Promotors,PGK,Plate1
A03,JPF0507,Promotors,PGK,Plate1
A04,JPF0507,Promotors,PGK,Plate1
A05,JPF0508,Promotors,CAG,Plate1
A06,JPF0508,Promotors,CAG,Plate1
A07,JPF0508,Promotors,CAG,Plate1
A08,JPF0508,Promotors,CAG,Plate1
A09,JPF0509,Promotors,SV40,Plate1
A10,JPF0509,Promotors,SV40,Plate1
A11,JPF0509,Promotors,SV40,Plate1
A12,JPF0509,Promotors,SV40,Plate1
B01,JPF0510,Promotors,EF1a,Plate1
B02,JPF0510,Promotors,EF1a,Plate1
B03,JPF0510,Promotors,EF1a,Plate1
B04,JPF0510,Promotors,EF1a,Plate1
B05,JPF0511,Promotors,hUBC,Plate1
B06,JPF0511,Promotors,hUBC,Plate1
B07,JPF0511,Promotors,hUBC,Plate1
B08,JPF0511,Promotors,hUBC,Plate1
B09,JPF0512,Promotors,Spacer,Plate1
B10,JPF0512,Promotors,Spacer,Plate1
B11,JPF0512,Promotors,Spacer,Plate1
B12,JPF0512,Promotors,Spacer,Plate1
C01,JPF0513,Promotors,CMV-A,Plate1
C02,JPF0513,Promotors,CMV-A,Plate1
C03,JPF0513,Promotors,CMV-A,Plate1
C04,JPF0513,Promotors,CMV-A,Plate1
C05,JPF0514,Promotors,CMV-B,Plate1
C06,JPF0514,Promotors,CMV-B,Plate1
C07,JPF0514,Promotors,CMV-B,Plate1
C08,JPF0514,Promotors,CMV-B,Plate1
C09,JPF0515,Promotors,CMV-C,Plate1
C10,JPF0515,Promotors,CMV-C,Plate1
C11,JPF0515,Promotors,CMV-C,Plate1
C12,JPF0515,Promotors,CMV-C,Plate1
D01,JPF0516,Promotors,CMV-D,Plate1
D02,JPF0516,Promotors,CMV-D,Plate1
D03,JPF0516,Promotors,CMV-D,Plate1
D04,JPF0516,Promotors,CMV-D,Plate1
D05,JPF0517,Promotors,CMV-E,Plate1
D06,JPF0517,Promotors,CMV-E,Plate1
D07,JPF0517,Promotors,CMV-E,Plate1
D08,JPF0517,Promotors,CMV-E,Plate1
D09,JPF0518,Promotors,CMV-F,Plate1
D10,JPF0518,Promotors,CMV-F,Plate1
D11,JPF0518,Promotors,CMV-F,Plate1
D12,JPF0518,Promotors,CMV-F,Plate1
E01,JPF0519,Promotors,CMV-G,Plate1
E02,JPF0519,Promotors,CMV-G,Plate1
E03,JPF0519,Promotors,CMV-G,Plate1
E04,JPF0519,Promotors,CMV-G,Plate1
E05,JPF0520,Promotors,CMV-H,Plate1
E06,JPF0520,Promotors,CMV-H,Plate1
E07,JPF0520,Promotors,CMV-H,Plate1
E08,JPF0520,Promotors,CMV-H,Plate1
E09,JPF0521,Promotors,PGK-Kozac,Plate1
E10,JPF0521,Promotors,PGK-Kozac,Plate1
E11,JPF0521,Promotors,PGK-Kozac,Plate1
E12,JPF0521,Promotors,PGK-Kozac,Plate1
F01,JPF0522,Promotors,EF1-Kozac,Plate1
F02,JPF0522,Promotors,EF1-Kozac,Plate1
F03,JPF0522,Promotors,EF1-Kozac,Plate1
F04,JPF0522,Promotors,EF1-Kozac,Plate1
F05,JPF0523,Promotors,SFFV-Kozac,Plate1
F06,JPF0523,Promotors,SFFV-Kozac,Plate1
F07,JPF0523,Promotors,SFFV-Kozac,Plate1
F08,JPF0523,Promotors,SFFV-Kozac,Plate1
F09,ARB287a,Terminators,bgPA,Plate1
F10,ARB287a,Terminators,bgPA,Plate1
F11,ARB287a,Terminators,bgPA,Plate1
F12,ARB287a,Terminators,bgPA,Plate1
G01,ARB287b,Terminators,SV40PA,Plate1
G02,ARB287b,Terminators,SV40PA,Plate1
G03,ARB287b,Terminators,SV40PA,Plate1
G04,ARB287b,Terminators,SV40PA,Plate1
G05,ARB287c,Terminators,rgPA,Plate1
G06,ARB287c,Terminators,rgPA,Plate1
G07,ARB287c,Terminators,rgPA,Plate1
G08,ARB287c,Terminators,rgPA,Plate1
G09,ARB287d,Terminators,Spacer,Plate1
G10,ARB287d,Terminators,Spacer,Plate1
G11,ARB287d,Terminators,Spacer,Plate1
G12,ARB287d,Terminators,Spacer,Plate1
H01,ARB287e,Terminators,Spacer (no TAA),Plate1
H02,ARB287e,Terminators,Spacer (no TAA),Plate1
H03,ARB287e,Terminators,Spacer (no TAA),Plate1
H04,ARB287e,Terminators,Spacer (no TAA),Plate1
H05,Parental,Parental,Parental,Plate1
H06,Parental,Parental,Parental,Plate1
H07,Parental,Parental,Parental,Plate1
H08,Parental,Parental,Parental,Plate1
H09,Parental,Parental,Parental,Plate1
H10,Parental,Parental,Parental,Plate1
H11,Parental,Parental,Parental,Plate1
H12,Parental,Parental,Parental,Plate1
